genspcode,gencode,spcode,lsspnum,genus,species,author,family,Synonymy_and_name_history,nativeexotic,forma,wooddens,wooddenstaxlevel,wooddenssource,,,,
COUSTALA,COUS,TALA,LS001609,Coussarea,talamancana,Standl.,Rubiaceae,,Nativa,A,0.61,Genus,SAmerTrop,G. Hartshorn 1499,,,
COUTHEXA,COUT,HEXA,LS001610,Coutarea,hexandra,(Jacq.) K. Schum.,Rubiaceae,,Nativa,A,0.6,Species,SAmerTrop,B. Hammel 11145,,,1 stem; L5; id'd by JG/OV June13
CROTSCHI,CROT,SCHI,LS001016,Croton,schiedeanus,Schltdl.,Euphorbiaceae,,Nativa,A,0.4,Species,Central America (tropical),J. González 7735,,,
CRYOWARS,CRYO,WARS,LS000306,Cryosophila,warscewiczii,(H. Wendl.) Bartlett,Arecaceae,Sin. Cryosophila albida Bartlett,Nativa,P,0.418,Genus,Mex&SAmerTrop,Hammel 8149,,,
CUPADENT,CUPA,DENT,LS002635,Cupania,dentata,DC.,Sapindaceae,,Nativa,A,0.66,Species,Mexico,,,,3 stems in P5
CUPAPSEU,CUPA,PSEU,LS001714,Cupania,pseudostipularis,T. D. Penn. ined.,Sapindaceae,Hist. Tax. Cupania livida,Nativa,A,0.629,Genus,Mex&C&SAmerTrop,Hammel 9696,,,
CUPASP,CUPA,SP,,Cupania,,,Sapindaceae,,,A,0.629,Genus,Mex&C&SAmerTrop,,,,2 stems
CYMBCOST,CYMB,COST,LS000718,Cymbopetalum,costaricense,(Donn. Sm.) Saff.,Annonaceae,,Nativa,A,0.535,Genus,Mex&SAmerTrop,D. Smith 209,,,
CYMBTORU,CYMB,TORU,LS000719,Cymbopetalum,torulosum,G. E. Schatz,Annonaceae,,Nativa,A,0.535,Genus,Mex&SAmerTrop,Aguilar 7757,,,
DALB1087,DALB,1087,,Dalbergia,,,Fabaceae,"four spp at LS, 2 listed as native",,A,0.804,Genus,Mex&C&SAmerTrop,,,,2 stems
DENDARBO,DEND,ARBO,LS000760,Dendropanax,arboreus,(L.) Decne. & Planch.,Araliaceae,,Nativa,A,0.429,Species,LaSelva-MullerLand,Hammel 9102,G.S. Hartshorn 1525; Herb. Nac. CR,,
DESMSCHI,DESM,SCHI,LS000721,Desmopsis,schippii,Standl.,Annonaceae,Sin. Desmopsis brevipes R. E. Fr.,Nativa,A,0.7641177,Genus,Central America (tropical),O. Vargas  1362,,,
DICHAXIL,DICH,AXIL,LS000979,Dichapetalum,axillare,Woodson,Dichapetalaceae,,Nativa,A,0.7605,Genus,Australia,Aguilar 7715,,,1 small in P5; id'd by JG/OV June13; was initially id'd as Licania sp.A
DICHGRAY,DICH,GRAY,LS000983,Dichapetalum,grayumii,Prance,Dichapetalaceae,"Hist. Tax. Dichapetalum stipulatum, Dichapetalum nervatum",Nativa,A,0.7605,Genus,Australia,Aguilar 8122,,,
DIPTPANA,DIPT,PANA,LS001120,Dipteryx,panamensis,(Pittier) Record & Mell,Fabaceae,"Sin. Coumarouna panamensis Pittier, Sin. Oleiocarpon panamense (Pittier) Dwyer",Nativa,A,0.84,Species,LaSelva-King,Aguilar 7689,R. Robles 1199; Herb. Nac. CR,9,
DRYPSTAN,DRYP,STAN,LS001021,Drypetes,standleyi,G. L. Webster,Putranjivaceae,Hist. Tax. Drypetes brownii,Nativa,A,0.675,Species,CAmerTrop(BCI)-MullerLand,Hammel 9166,,,
DUSSMACR,DUSS,MACR,LS001121,Dussia,macroprophyllata,(Donn. Sm.) Harms,Fabaceae,Hist. Tax. Dussia tessmannii,Nativa,A,0.563,Species,LaSelva-MullerLand,Aguilar 7906,,,
DUSSMUND,DUSS,MUND,,Dussia,,,Fabaceae,"""munda"" - NZ in 2003 said a tree was near SHA850 - Orlando may know; 3-5 glabrous lflets",,A,,,,,,,we don't have a specimen - listing is just to keep NZ comment on 3rd sp at LS
DUSSSP,DUSS,SP,,Dussia,,,Fabaceae,,,A,0.552,Genus,Mex&C&SAmerTrop,,,,1 stem
DUSSSPB,DUSS,SPB,LS001122,Dussia,sp. B,,Fabaceae,"Hist. Tax. D. cuscatlanica, D. atropurpurea , D. sp A",Nativa,A,0.552,Genus,Mex&C&SAmerTrop,B. Hammel 10560,,,
DYSTPANI,DYST,PANI,LS000933,Dystovomita,paniculata,(Donn. Sm.) Hammel,Clusiaceae,Sin. Dystovomita pittieri (Engl.) D'Arcy,Nativa,A,,,,Hammel 10966,,,no wood density for genus in Chave compilation
ELAEGLAB,ELAE,GLAB,not yet,Elaeoluma,glabrescens,(Mart. & Eichler) Aubrev.,Sapotaceae,,Nativa,A,,,,,,,no wood density
ERYTFIMB,ERYT,FIMB,LS000997,Erythroxylum,fimbriatum,Peyr.,Erythroxylaceae,,Nativa,A,0.765,Genus,Mex&SAmerTrop,Aguilar 8175,,,
ERYTMACR,ERYT,MACR,LS000998,Erythroxylum,macrophyllum,Cav.,Erythroxylaceae,Sin. Erythroxylum lucidum Kunth,Nativa,A,0.71,Species,SAmerTrop,Hammel 8904,"L.J.Poveda & N.Zamora, Dendrologia II 3640; Herb. Nac. CR",,"stipules are striated, but vary greatly in size."
ESCHCOLL,ESCH,COLL,LS001252,Eschweilera,collinsii,Pittier,Lecythidaceae,"Sin. E. longirachis S. A. Mori, Hist. Tax. Eschweilera calyculata",Nativa,A,0.778,Species,SAmerTrop,Aguilar 7831,,,"wood density for species ""collina"", not ""collinsIi"""
EUGE1179,EUGE,1179,,Eugenia,,,Myrtaceae,,,A,0.757,Genus,Mex&C&SAmerTrop,,,,1 stem
EUGE1295,EUGE,1295,,Eugenia,,,Myrtaceae,,,A,0.757,Genus,Mex&C&SAmerTrop,,,,1 stem
EUGE945,EUGE,945,,Eugenia,,,Myrtaceae,,,A,0.757,Genus,Mex&C&SAmerTrop,,,,1 stem
EUGEBASI,EUGE,BASI,LS002485,Eugenia,basilaris,McVaugh,Myrtaceae,,Nativa,A,0.757,Genus,Mex&C&SAmerTrop,Gentry 78520,,,id'd by JG/OV June13
EUGECORU,EUGE,CORU,LS002421,Eugenia,corusca,Barrie,Myrtaceae,,Nativa,A,0.757,Genus,Mex&C&SAmerTrop,Hammel 11693,,,2 stems
EUGEGLAN,EUGE,GLAN,LS001461,Eugenia,glandulosopunctata,P. E. Sánchez & Poveda,Myrtaceae,,Nativa,A,0.757,Genus,Mex&C&SAmerTrop,,,,no LS voucher in 2007 list
EUGEHAMM,EUGE,HAMM,LS002422,Eugenia,hammelii,Barrie,Myrtaceae,,Nativa,A,0.757,Genus,Mex&C&SAmerTrop,B. Hammel 9318,,,
EUGEHART,EUGE,HART,LS002423,Eugenia,hartshornii,Barrie,Myrtaceae,Hist. Tax. E. sarapiquensis; Myrcia carnea,Nativa,A,0.757,Genus,Mex&C&SAmerTrop,Hartshorn 1249,,,
EUGELITH,EUGE,LITH,LS002424,Eugenia,lithosperma,Barrie,Myrtaceae,,Nativa,A,0.757,Genus,Mex&C&SAmerTrop,Bawa 594,,,id'd by JG/OV
EUGESELV,EUGE,SELV,LS002426,Eugenia,selvana,Barrie,Myrtaceae,Hist. Tax. Myrciaria floribunda,Nativa,A,0.757,Genus,Mex&C&SAmerTrop,Hammel 8608,,,
EUGESP,EUGE,SP,,Eugenia,,,Myrtaceae,,,A,0.757,Genus,Mex&C&SAmerTrop,,,,4 stems
EUTEPREC,EUTE,PREC,LS000309,Euterpe,precatoria,Mart.,Arecaceae,Sin. Euterpe macrospadix Oerst.,Nativa,P,0.35,Species,LaSelva-Rich,B. Hammel 11630,,,
FARAE,FARA,E,,Faramea,,,Rubiaceae,"??? ""E"" for sp?  Genus right?",,A,0.584,Genus,Mexico&BCI,,,,1 stem
FARAGLAN,FARA,GLAN,LS001613,Faramea,glandulosa,Poepp. & Endl.,Rubiaceae,Sin. Faramea  stenura Standl.,Nativa,A,0.584,Genus,Mexico&BCI,Hammel 10992,,,
FARAMULT,FARA,MULT,LS001611,Faramea,multiflora,A. Rich.,Rubiaceae,Sin. Faramea  talamancarum Standl.,Nativa,A,0.584,Genus,Mexico&BCI,Hammel 11040,,,
FARAPARV,FARA,PARV,LS001612,Faramea,parvibractea,Steyerm.,Rubiaceae,,Nativa,A,0.584,Genus,Mexico&BCI,Aguilar 7827,,,
FARASUER,FARA,SUER,LS001614,Faramea,suerrensis,(Donn. Sm.) Donn. Sm.,Rubiaceae,,Nativa,A,0.584,Genus,Mexico&BCI,Aguilar 7599,,,
FARATRIC,FARA,TRIC,,Faramea,,,Rubiaceae,Genus? - no match in Faramea,,A,0.584,Genus,Mexico&BCI,,,,check genus in field if no specimen
FICU1080,FICU,1080,,Ficus,,,Moraceae,,,A,0.384,Genus,Mex&C&SAmerTrop,,,,1 stem
FICUGLAU,FICU,GLAU,LS002599,Ficus,glaucescens,(Liebm.) Miq.,Moraceae,Hist. Tax.  F. maxima,Nativa,A,0.384,Genus,Mex&C&SAmerTrop,,,,1 stem; Clark1113; id'd by JG/OV June13
GARCINTE,GARC,INTE,LS000934,Garcinia,intermedia,(Pittier) Hammel,Clusiaceae,Sin. Rheedia  edulis (Seem.) Planch. & Triana,Nativa,A,0.625,Species,BCI-MullerLand,Aguilar 8053,,,
GEONCONG,GEON,CONG,LS000310,Geonoma,congesta,H. Wendl. ex Spruce,Arecaceae,,Nativa,P,,,,Aguilar 7794,,,no wood density for genus in Chave compilation
GLOEDIVE,GLOE,DIVE,,Gloeospermum,diversipetalum,L.O.Williams,Violaceae,,Nativa,A,0.596,Family,CAmerTrop (just Rinorea),,,,Clark1189 id'd by JG/OV June13; this species isn't yet in the La Selva lists (July13)
GOETMEIA,GOET,MEIA,LS001803,Goethalsia,meiantha,(Donn. Sm.) Burret,Malvaceae,,Nativa,A,0.351,Species,LaSelva-King&MullerLandau,O. Vargas  725,,,
GRIACAUL,GRIA,CAUL,LS001253,Grias,cauliflora,L.,Lecythidaceae,Sin. Grias fendleri Seem.,Nativa,A,0.62,Genus,SAmerTrop,Aguilar 7961,,,
GUARBULL,GUAR,BULL,LS001384,Guarea,bullata,Radlk.,Meliaceae,,Nativa,A,0.577,Genus,Mex&C&SAmerTrop,Hammel 8940,,,
GUARCILI,GUAR,CILI,LS002366,Guarea,ciliata,Al. Rodr.?,Meliaceae,Sin Guarea ternifoliola sensu Coronado non C. DC.,Nativa,A,0.577,Genus,Mex&C&SAmerTrop,O. Vargas 1068,,,"Clark1240; id'd by JG/OV June13; they inserted the ""?"" after the author"
GUARGENT,GUAR,GENT,LS001390,Guarea,gentryi,Coronado,Meliaceae,"Sin. Guarea tuerckheimii C. DC., Hist. Tax. G. guidonia",Nativa,A,0.577,Genus,Mex&C&SAmerTrop,B. Hammel 12844,,,***** check that this change is really the right one (and what does the real guidonia look like?)
GUARGUID,GUAR,GUID,LS002416,Guarea,guidonia,(L.) Sleumer?,Meliaceae,"Sin. Guarea trichilioides L., Guarea xiroresana C. DC.",Nativa,A,0.548,Species,SAmerTrop,O. Vargas  1223,,,"3 stems; Clark1181, id'd by JG/OV (they added the ""?"" to the author)"
GUARHOFF,GUAR,HOFF,LS001387,Guarea,hoffmanniana,C. DC.,Meliaceae,Sin. Guarea macropetala T. D. Penn.,Nativa,A,0.577,Genus,Mex&C&SAmerTrop,Folsom 9843,,,
GUARPILO,GUAR,PILO,LS001383,Guarea,pilosa,Al. Rodr.,Meliaceae,"Hist. Tax. Guarea tonduzii, Guarea chiricana",Nativa,A,0.577,Genus,Mex&C&SAmerTrop,Aguilar 8421,,,
GUARRHOP,GUAR,RHOP,LS001389,Guarea,rhopalocarpa,Radlk.,Meliaceae,Sin. G. tuisana C. DC.,Nativa,A,0.577,Genus,Mex&C&SAmerTrop,Aguilar 8109,,,
GUARSP,GUAR,SP,,Guarea,,,Meliaceae,,,A,0.577,Genus,Mex&C&SAmerTrop,,,,1 stem
GUATAERU,GUAT,AERU,LS000722,Guatteria,aeruginosa,Standl.,Annonaceae,,Nativa,A,0.535,Genus,C&SAmerTrop,O. Vargas  726,Celso Alvarado 50; Herb. Nac. CR,,fur ferrugineous
GUATAMPL,GUAT,AMPL,LS000723,Guatteria,amplifolia,Triana & Planch.,Annonaceae,"Sin. Guatteria diospyroides Baill., Guatteria inuncta R. E. Fr., Sin. Guatteria platypetala R. E. Fr.",Nativa,A,0.511,Species,LaSelva-MullerLand,Aguilar 8206,"W.S.Alverson,R.Marquis&O.Vargas s.n.; Herb. Nac. CR",,almost bullate on top
GUATRECU,GUAT,RECU,LS000724,Guatteria,recurvisepala,R. E. Fr.,Annonaceae,,Nativa,A,0.535,Genus,C&SAmerTrop,B.Hammel 11605,"B.Hammel 11605 (LS,S.Bdry); Herb. Nac. CR",,tertiaries almost invisible; leaf somewhat pubescent
HAMPAPPE,HAMP,APPE,LS001287,Hampea,appendiculata,(Donn. Sm.) Standl.,Malvaceae,,Nativa,A,0.245,Species,LaSelva-WiemWilli,Grayum 2960,,,
HANDCHRY,HAND,CHRY,LS000853,Handroanthus,chrysanthus,(Jacq.) S. O. Grose,Bignoniaceae,Sin. Tabebuia chrysantha,Nativa,A,1.03,Species,Mex&SAmerTrop,Jacobs  3036,,,"most common ""Tabebuia"" at LS; covered in hairs"
HANDGUAY,HAND,GUAY,LS000854,Handroanthus,guayacan,(Seem.) S. O. Grose,Bignoniaceae,Sin. Tabebuia guayacan,Nativa,A,0.774,Genus,Mex&C&SAmerTrop,O. Vargas 1673,,,
